,market,code,company,industry,h_value_now,total_value_now,h_value,total_value,profit%,dividend%,h_value%_now,h_value%,h_value%_change
0,sh,600519,贵州茅台,饮料,1116.96,13805.61,595.03,7411.69,88.16,1.33,8.09,8.03,0.0600000000000005
1,sh,601318,中国平安,保险,700.58,16699.0,401.0,10255.22,63.25,2.76,4.2,3.91,0.29000000000000004
2,sz,000333,美的集团,家用电器,550.19,3716.9,330.16,2455.99,47.59,2.34,14.8,13.44,1.3600000000000012
3,sz,000651,格力电器,家用电器,414.25,3545.07,175.1,2147.01,68.38,3.65,11.69,8.16,3.5299999999999994
4,sh,600276,恒瑞医药,化学制剂,406.46,3527.64,219.11,1942.3,80.43,0.23,11.52,11.28,0.2400000000000002
5,sz,000858,五粮液,饮料,380.33,5081.8,172.49,1974.96,163.02,1.29,7.48,8.73,-1.25
6,sh,600036,招商银行,银行,331.11,8826.95,170.66,6355.4,41.74,2.7,3.75,2.69,1.06
7,sh,600900,长江电力,电力公用事业,235.39,4180.0,180.2,3493.6,21.1,3.67,5.63,5.16,0.46999999999999975
8,sh,601888,中国国旅,酒店餐饮与休闲,228.38,1810.92,142.6,1175.39,53.88,0.6,12.61,12.13,0.47999999999999865
9,sh,600009,上海机场,交通基本设施,215.15,1595.52,160.59,978.12,62.89,0.8,13.48,16.42,-2.9400000000000013
10,sh,600585,海螺水泥,建筑材料,211.18,2237.9,107.15,1551.64,47.94,4.07,9.44,6.91,2.5299999999999994
11,sh,600887,伊利股份,食品,207.65,1787.68,206.91,1390.68,29.42,2.41,11.62,14.88,-3.2600000000000016
12,sz,002415,海康威视,电子设备及服务,205.02,3225.04,209.99,2376.94,33.68,1.79,6.36,8.83,-2.4699999999999998
13,sh,603288,海天味业,食品,180.24,2997.41,93.54,1857.85,59.4,0.9,6.01,5.03,0.9799999999999995
14,sz,000001,平安银行,银行,171.2,2481.22,39.73,1610.58,53.47,1.02,6.9,2.47,4.43
15,sh,600690,海尔智家,家用电器,119.93,1008.13,69.21,882.03,14.65,2.26,11.9,7.85,4.050000000000001
16,sz,002304,洋河股份,饮料,115.29,1572.39,92.2,1427.42,13.1,3.07,7.33,6.46,0.8700000000000001
17,sz,000002,万科Ａ,住宅地产开发和管理,112.78,3075.31,53.37,2629.53,17.12,3.9,3.67,2.03,1.6400000000000001
18,sh,601901,方正证券,证券,105.12,599.3,70.78,437.12,34.43,0.37,17.54,16.19,1.3499999999999979
19,sh,600031,三一重工,专用设备,102.5,1220.36,41.06,650.58,75.07,1.82,8.4,6.31,2.0900000000000007
20,sh,600104,上汽集团,汽车,90.3,2922.03,85.71,3115.98,-2.62,5.1,3.09,2.75,0.33999999999999986
21,sh,601166,兴业银行,银行,85.55,3710.27,58.74,3103.66,21.98,3.93,2.31,1.89,0.42000000000000015
