﻿交易所,代码,公司,行业,港股通持仓金额 2019-09-16 亿,市值 2019-09-16 亿,港股通持仓金额 2018-12-28 亿,市值 2018-12-28 亿,今年以来投资收益率 % (最近时间),股息率 % (最近时间)
sh,600519,贵州茅台,饮料,1116.96,13805.61,595.03,7411.69,88.16,1.33
sh,601318,中国平安,保险,700.58,16699,401,10255.22,63.25,2.76
sz,000333,美的集团,家用电器,550.19,3716.9,330.16,2455.99,47.59,2.34
sz,000651,格力电器,家用电器,414.25,3545.07,175.1,2147.01,68.38,3.65
sh,600276,恒瑞医药,化学制剂,406.46,3527.64,219.11,1942.3,80.43,0.23
sz,000858,五粮液,饮料,380.33,5081.8,172.49,1974.96,163.02,1.29
sh,600036,招商银行,银行,331.11,8826.95,170.66,6355.4,41.74,2.7
sh,600900,长江电力,电力公用事业,235.39,4180,180.2,3493.6,21.1,3.67
sh,601888,中国国旅,酒店餐饮与休闲,228.38,1810.92,142.6,1175.39,53.88,0.6
sh,600009,上海机场,交通基本设施,215.15,1595.52,160.59,978.12,62.89,0.8
sh,600585,海螺水泥,建筑材料,211.18,2237.9,107.15,1551.64,47.94,4.07
sh,600887,伊利股份,食品,207.65,1787.68,206.91,1390.68,29.42,2.41
sz,002415,海康威视,电子设备及服务,205.02,3225.04,209.99,2376.94,33.68,1.79
sh,603288,海天味业,食品,180.24,2997.41,93.54,1857.85,59.4,0.9
sz,000001,平安银行,银行,171.2,2481.22,39.73,1610.58,53.47,1.02
sh,600690,海尔智家,家用电器,119.93,1008.13,69.21,882.03,14.65,2.26
sz,002304,洋河股份,饮料,115.29,1572.39,92.2,1427.42,13.1,3.07
sz,000002,万科Ａ,住宅地产开发和管理,112.78,3075.31,53.37,2629.53,17.12,3.9
sh,601901,方正证券,证券,105.12,599.3,70.78,437.12,34.43,0.37
sh,600031,三一重工,专用设备,102.5,1220.36,41.06,650.58,75.07,1.82
sh,600104,上汽集团,汽车,90.3,2922.03,85.71,3115.98,-2.62,5.1
sh,601166,兴业银行,银行,85.55,3710.27,58.74,3103.66,21.98,3.93
sz,300015,爱尔眼科,医疗保健提供商与服务,80.08,1058.52,31.78,626.83,67.44,0.46
sh,601006,大秦铁路,陆运,62.7,1156.64,52.6,1223.54,-1.14,6.24
sz,000538,云南白药,中药,62.67,989.22,56.71,770.22,6.59,2.12
sh,601012,隆基股份,半导体,61.2,1021.92,15.17,486.71,91.13,0.36
sz,002027,分众传媒,传媒,59,814.62,35.51,769.12,6.64,1.82
sz,300347,泰格医药,医疗保健提供商与服务,56.93,450.14,15.41,213.83,111.63,0.39
sh,601398,工商银行,银行,56.92,19851.83,45.23,18853.89,8.75,4.55
sh,600406,国电南瑞,重型电气设备,55.83,923.96,28.05,849.35,7.42,1.9
sz,002475,立讯精密,电子元器件,55.81,1390.74,14.65,578.52,141.65,0.15
sh,600000,浦发银行,银行,53.73,3501.7,36.31,2876.5,24.23,2.96
sz,300498,温氏股份,农牧渔产品,50.8,2042.51,6.86,1391.16,48.12,2.09
sz,000338,潍柴动力,通用机械,49.67,957.62,25.59,615.79,56.44,3.65
sz,002714,牧原股份,农牧渔产品,47.05,1556.57,6.73,599.5,151.68,0.07
